             v1        OLR1_CO2        OLR2_CO2
      801.10000         0.40928         0.40000
      802.10000         0.41239         0.40633
      803.10000         0.40358         0.38967
      804.10000         0.40985         0.40235
      805.10000         0.41125         0.40544
      806.10000         0.40274         0.38955
      807.10000         0.40943         0.40302
      808.10000         0.40946         0.40392
      809.10000         0.40161         0.38883
      810.10000         0.40900         0.40339
      811.10000         0.40872         0.40339
      812.10000         0.40224         0.39163
      813.10000         0.40776         0.40256
      814.10000         0.40726         0.40210
      815.10000         0.40369         0.39556
      816.10000         0.40661         0.40171
      817.10000         0.40507         0.39919
      818.10000         0.40458         0.39861
      819.10000         0.40528         0.40062
      820.10000         0.40377         0.39796
      821.10000         0.40425         0.39940
      822.10000         0.40381         0.39935
      823.10000         0.40258         0.39711
      824.10000         0.40319         0.39879
      825.10000         0.40280         0.39850
      826.10000         0.40165         0.39675
      827.10000         0.40183         0.39760
      828.10000         0.39924         0.39304
      829.10000         0.40054         0.39606
      830.10000         0.40045         0.39638
      831.10000         0.39991         0.39582
      832.10000         0.39940         0.39532
      833.10000         0.39907         0.39517
      834.10000         0.39846         0.39454
      835.10000         0.39798         0.39405
      836.10000         0.39760         0.39378
      837.10000         0.39712         0.39335
      838.10000         0.39657         0.39277
      839.10000         0.39606         0.39230
      840.10000         0.39567         0.39204
      841.10000         0.39513         0.39148
      842.10000         0.39466         0.39107
      843.10000         0.39422         0.39071
      844.10000         0.39367         0.39013
      845.10000         0.39323         0.38981
      846.10000         0.39273         0.38931
      847.10000         0.39216         0.38872
      848.10000         0.39176         0.38844
      849.10000         0.39122         0.38789
      850.10000         0.39074         0.38748
      851.10000         0.39023         0.38699
      852.10000         0.38969         0.38643
      853.10000         0.38926         0.38611
      854.10000         0.38872         0.38556
      855.10000         0.38821         0.38509
      856.10000         0.38774         0.38468
      857.10000         0.38715         0.38403
      858.10000         0.38671         0.38369
      859.10000         0.38620         0.38321
      860.10000         0.38568         0.38272
      861.10000         0.38517         0.38225
      862.10000         0.38460         0.38167
      863.10000         0.38404         0.38106
      864.10000         0.38320         0.37994
      865.10000         0.38310         0.38028
      866.10000         0.38259         0.37979
      867.10000         0.38207         0.37930
      868.10000         0.38155         0.37881
